"","AGB_Change","Plot","PercentRemoved"
"1",-15337.6966906511,"ACDG_P015",25
"2",-59640.7241663016,"ACDG_P015",50
"3",-102398.442379474,"ACDG_P015",100
"4",-37619.7612291483,"ACDG_P015",25
"5",-54481.261697052,"ACDG_P015",50
"6",-95677.3286819946,"ACDG_P015",100
"7",-17588.6329501957,"ACDG_P015",25
"8",-50333.6103222542,"ACDG_P015",50
"9",-107752.081976527,"ACDG_P015",100
"10",-19324.9864169627,"ACDG_P015",25
"11",-34215.7307097116,"ACDG_P015",50
"12",-104911.547452931,"ACDG_P015",100
"13",-17663.8458557649,"ACDG_P015",25
"14",-65239.735476551,"ACDG_P015",50
"15",-96872.6620512183,"ACDG_P015",100
"16",-32284.3429026013,"ACDG_P015",25
"17",-40189.8516908464,"ACDG_P015",50
"18",-99092.2689629647,"ACDG_P015",100
"19",-20086.2062057944,"ACDG_P015",25
"20",-66448.8776884653,"ACDG_P015",50
"21",-98334.2159428378,"ACDG_P015",100
"22",-22544.787742689,"ACDG_P015",25
"23",-57620.3921151293,"ACDG_P015",50
"24",-105068.557257987,"ACDG_P015",100
"25",-24426.6176908664,"ACDG_P015",25
"26",-65857.6958638909,"ACDG_P015",50
"27",-106464.31028449,"ACDG_P015",100
"28",-25552.4365163961,"ACDG_P015",25
"29",-47401.2127843765,"ACDG_P015",50
"30",-95810.1010578847,"ACDG_P015",100
"31",-16136.3431892115,"ACDG_P015",25
"32",-53987.5201614474,"ACDG_P015",50
"33",-100628.003253405,"ACDG_P015",100
"34",-21661.5725101945,"ACDG_P015",25
"35",-53820.2379097616,"ACDG_P015",50
"36",-100637.027866331,"ACDG_P015",100
"37",-14497.1360721419,"ACDG_P015",25
"38",-47476.4148031453,"ACDG_P015",50
"39",-94805.4337970612,"ACDG_P015",100
"40",-37860.2419044018,"ACDG_P015",25
"41",-47038.1454361207,"ACDG_P015",50
"42",-85010.7686730345,"ACDG_P015",100
"43",-18416.8318898877,"ACDG_P015",25
"44",-50026.7174803568,"ACDG_P015",50
"45",-94489.4302417758,"ACDG_P015",100
"46",-23415.9968536688,"ACDG_P015",25
"47",-59397.634355379,"ACDG_P015",50
"48",-88050.9182820708,"ACDG_P015",100
"49",-31660.7389208372,"ACDG_P015",25
"50",-68509.8915599609,"ACDG_P015",50
"51",-99684.9999392225,"ACDG_P015",100
"52",-16806.1480819919,"ACDG_P015",25
"53",-48258.3570875964,"ACDG_P015",50
"54",-100451.049453752,"ACDG_P015",100
"55",-15654.6390936942,"ACDG_P015",25
"56",-44426.5874242906,"ACDG_P015",50
"57",-113760.078568367,"ACDG_P015",100
"58",-35429.3060241058,"ACDG_P015",25
"59",-59875.1794158325,"ACDG_P015",50
"60",-96456.04281668,"ACDG_P015",100
"61",-24884.3332143383,"ACDG_P015",25
"62",-43513.9162114265,"ACDG_P015",50
"63",-99393.5060073327,"ACDG_P015",100
"64",-33277.7407955007,"ACDG_P015",25
"65",-38197.7371104636,"ACDG_P015",50
"66",-102723.392145419,"ACDG_P015",100
"67",-19445.9552026696,"ACDG_P015",25
"68",-39231.4378899436,"ACDG_P015",50
"69",-98706.5217208778,"ACDG_P015",100
"70",-20070.248120061,"ACDG_P015",25
"71",-68527.6121894292,"ACDG_P015",50
"72",-95642.4368703795,"ACDG_P015",100
"73",-20447.2695296496,"ACDG_P015",25
"74",-31259.3329292678,"ACDG_P015",50
"75",-114921.349673735,"ACDG_P015",100
"76",-33355.7777018937,"ACDG_P015",25
"77",-57532.8453798743,"ACDG_P015",50
"78",-109251.295657701,"ACDG_P015",100
"79",-28194.5455431129,"ACDG_P015",25
"80",-44216.7118509499,"ACDG_P015",50
"81",-99122.7464467573,"ACDG_P015",100
"82",-28456.9949258038,"ACDG_P015",25
"83",-56628.5354796785,"ACDG_P015",50
"84",-98504.0666378839,"ACDG_P015",100
"85",-24325.2956747643,"ACDG_P015",25
"86",-62505.4865697343,"ACDG_P015",50
"87",-91390.11376678,"ACDG_P015",100
"88",-23662.4211883046,"ACDG_P015",25
"89",-55803.6250676134,"ACDG_P015",50
"90",-105098.516957185,"ACDG_P015",100
"91",-31987.0474772649,"ACDG_P015",25
"92",-47948.2497186177,"ACDG_P015",50
"93",-89541.3362053266,"ACDG_P015",100
"94",-12590.2007863816,"ACDG_P015",25
"95",-53178.2280220884,"ACDG_P015",50
"96",-108139.491357112,"ACDG_P015",100
"97",-6680.31806157628,"ACDG_P015",25
"98",-59422.0315245037,"ACDG_P015",50
"99",-102877.04250955,"ACDG_P015",100
"100",-31810.8009246833,"ACDG_P015",25
"101",-55230.5696370552,"ACDG_P015",50
"102",-109225.505889373,"ACDG_P015",100
"103",-32801.2082566842,"ACDG_P015",25
"104",-66332.3236027559,"ACDG_P015",50
"105",-107151.350234392,"ACDG_P015",100
"106",-27222.5464063054,"ACDG_P015",25
"107",-34685.9280581863,"ACDG_P015",50
"108",-97605.8730280323,"ACDG_P015",100
"109",-27593.8748889371,"ACDG_P015",25
"110",-49115.5529218046,"ACDG_P015",50
"111",-104066.386821962,"ACDG_P015",100
"112",-11232.9096096411,"ACDG_P015",25
"113",-45953.8351899473,"ACDG_P015",50
"114",-93557.2344134861,"ACDG_P015",100
"115",-24297.6645365498,"ACDG_P015",25
"116",-58700.7939193806,"ACDG_P015",50
"117",-98303.7441686213,"ACDG_P015",100
"118",-31828.2359861697,"ACDG_P015",25
"119",-59589.0964866105,"ACDG_P015",50
"120",-105193.394837573,"ACDG_P015",100
"121",-29946.3410860573,"ACDG_P015",25
"122",-48673.5620762516,"ACDG_P015",50
"123",-84468.028896457,"ACDG_P015",100
"124",-31919.0926823197,"ACDG_P015",25
"125",-62847.934432011,"ACDG_P015",50
"126",-110221.804790764,"ACDG_P015",100
"127",-25471.817634592,"ACDG_P015",25
"128",-44593.4339731383,"ACDG_P015",50
"129",-87111.9151143728,"ACDG_P015",100
"130",-32560.9556805622,"ACDG_P015",25
"131",-58632.4988173906,"ACDG_P015",50
