"","AGB_Change","Plot","PercentRemoved"
"1",-47721.9085489263,"ACDG_P015",25
"2",-48563.3620557346,"ACDG_P015",50
"3",-101985.194166341,"ACDG_P015",100
"4",-20748.4618820584,"ACDG_P015",25
"5",-57161.3489480478,"ACDG_P015",50
"6",-112117.900703868,"ACDG_P015",100
"7",-14427.0681631448,"ACDG_P015",25
"8",-65754.6530091466,"ACDG_P015",50
"9",-99838.2972677624,"ACDG_P015",100
"10",-38716.3389246448,"ACDG_P015",25
"11",-31032.1095634991,"ACDG_P015",50
"12",-114182.903162434,"ACDG_P015",100
"13",-21593.5940160586,"ACDG_P015",25
"14",-49237.0513896993,"ACDG_P015",50
"15",-109023.017323077,"ACDG_P015",100
"16",-46595.848797147,"ACDG_P015",25
"17",-52351.4598518613,"ACDG_P015",50
"18",-105766.326982281,"ACDG_P015",100
"19",-41808.5620633054,"ACDG_P015",25
"20",-69761.8520676481,"ACDG_P015",50
"21",-107704.577936424,"ACDG_P015",100
"22",-32009.6321767339,"ACDG_P015",25
"23",-73187.9338208608,"ACDG_P015",50
"24",-87026.7125799797,"ACDG_P015",100
"25",-34031.1517056989,"ACDG_P015",25
"26",-69059.6530597823,"ACDG_P015",50
"27",-87521.1523160932,"ACDG_P015",100
"28",-17501.710750317,"ACDG_P015",25
"29",-70311.2836812692,"ACDG_P015",50
"30",-110117.663513049,"ACDG_P015",100
"31",-44199.3028295001,"ACDG_P015",25
"32",-78287.1454752015,"ACDG_P015",50
"33",-92825.2066653237,"ACDG_P015",100
"34",-11813.5753810978,"ACDG_P015",25
"35",-63574.3270169193,"ACDG_P015",50
"36",-101200.973472884,"ACDG_P015",100
"37",-26874.0092902806,"ACDG_P015",25
"38",-56799.3769865762,"ACDG_P015",50
"39",-108520.657095701,"ACDG_P015",100
"40",-44557.6022537607,"ACDG_P015",25
"41",-62467.748583912,"ACDG_P015",50
"42",-105186.202336867,"ACDG_P015",100
"43",-22138.9830799351,"ACDG_P015",25
"44",-61871.6066398984,"ACDG_P015",50
"45",-105275.655863971,"ACDG_P015",100
"46",-42616.3059575635,"ACDG_P015",25
"47",-36771.7364068571,"ACDG_P015",50
"48",-104317.112566644,"ACDG_P015",100
"49",-24672.3619223268,"ACDG_P015",25
"50",-61426.1323926341,"ACDG_P015",50
"51",-108466.476421266,"ACDG_P015",100
"52",-40290.0183944968,"ACDG_P015",25
"53",-79619.1150903845,"ACDG_P015",50
"54",-100770.580148684,"ACDG_P015",100
"55",-28205.8961316452,"ACDG_P015",25
"56",-69142.7898670724,"ACDG_P015",50
"57",-111661.360039318,"ACDG_P015",100
"58",-9698.4278719369,"ACDG_P015",25
"59",-26513.7586188031,"ACDG_P015",50
"60",-107344.29607662,"ACDG_P015",100
"61",-13572.0056209406,"ACDG_P015",25
"62",-50292.2258050649,"ACDG_P015",50
"63",-99712.2035047957,"ACDG_P015",100
"64",-34080.0110855216,"ACDG_P015",25
"65",-63465.784445618,"ACDG_P015",50
"66",-107645.760051676,"ACDG_P015",100
"67",-39432.7075268013,"ACDG_P015",25
"68",-62799.7799129108,"ACDG_P015",50
"69",-108487.277613852,"ACDG_P015",100
"70",-34188.0368070894,"ACDG_P015",25
"71",-65749.556476095,"ACDG_P015",50
"72",-101072.548458928,"ACDG_P015",100
"73",-21885.7440420271,"ACDG_P015",25
"74",-62391.1116579732,"ACDG_P015",50
"75",-116669.145846443,"ACDG_P015",100
"76",-20057.9770334631,"ACDG_P015",25
"77",-72348.6942287774,"ACDG_P015",50
"78",-102732.291792498,"ACDG_P015",100
"79",-25287.150976476,"ACDG_P015",25
"80",-52895.0266278844,"ACDG_P015",50
"81",-111572.658527438,"ACDG_P015",100
"82",-11900.0913116599,"ACDG_P015",25
"83",-70925.8306300181,"ACDG_P015",50
"84",-100005.949072296,"ACDG_P015",100
"85",-24522.9469736384,"ACDG_P015",25
"86",-40776.5735466076,"ACDG_P015",50
"87",-111103.412071594,"ACDG_P015",100
"88",-30782.8413186911,"ACDG_P015",25
"89",-75670.3785258443,"ACDG_P015",50
"90",-113642.818451513,"ACDG_P015",100
"91",-22608.090500486,"ACDG_P015",25
"92",-38216.4587840589,"ACDG_P015",50
"93",-113312.604766964,"ACDG_P015",100
"94",-39842.0377118371,"ACDG_P015",25
"95",-38778.7886691168,"ACDG_P015",50
"96",-102608.649470325,"ACDG_P015",100
"97",-53448.7522262637,"ACDG_P015",25
"98",-70174.8663438844,"ACDG_P015",50
"99",-117611.64304765,"ACDG_P015",100
"100",-11485.3163304379,"ACDG_P015",25
"101",-58823.1150691209,"ACDG_P015",50
"102",-95897.2769759779,"ACDG_P015",100
"103",-22856.383811486,"ACDG_P015",25
"104",-71391.7273430031,"ACDG_P015",50
"105",-100107.532219666,"ACDG_P015",100
"106",-46066.758025048,"ACDG_P015",25
"107",-47350.9698665206,"ACDG_P015",50
"108",-101814.974605143,"ACDG_P015",100
"109",-22414.0097659538,"ACDG_P015",25
"110",-60768.9180467208,"ACDG_P015",50
"111",-115906.237809187,"ACDG_P015",100
"112",-22153.7098125279,"ACDG_P015",25
"113",-64592.8618817515,"ACDG_P015",50
"114",-96876.1248443255,"ACDG_P015",100
"115",-48012.6534587473,"ACDG_P015",25
"116",-67051.0664330265,"ACDG_P015",50
"117",-104668.639438022,"ACDG_P015",100
"118",-34634.1030713433,"ACDG_P015",25
"119",-36147.0420356232,"ACDG_P015",50
"120",-98719.3183200043,"ACDG_P015",100
"121",-30150.973996721,"ACDG_P015",25
"122",-61456.7530706356,"ACDG_P015",50
"123",-95923.852516963,"ACDG_P015",100
"124",-40023.7625993225,"ACDG_P015",25
"125",-46055.1135471744,"ACDG_P015",50
"126",-93324.896276104,"ACDG_P015",100
"127",-55512.7034738614,"ACDG_P015",25
"128",-57281.3522440839,"ACDG_P015",50
"129",-95748.2630976813,"ACDG_P015",100
"130",-24349.43482092,"ACDG_P015",25
"131",-39030.4639572454,"ACDG_P015",50
"132",-111317.244958266,"ACDG_P015",100
"133",-26956.1491373574,"ACDG_P015",25
"134",-38888.2519139097,"ACDG_P015",50
"135",-104186.141110445,"ACDG_P015",100
"136",-36626.2189935104,"ACDG_P015",25
"137",-67896.4132712935,"ACDG_P015",50
"138",-116531.311780702,"ACDG_P015",100
"139",-22740.6547386398,"ACDG_P015",25
"140",-63043.161683046,"ACDG_P015",50
"141",-103151.491118086,"ACDG_P015",100
"142",-55508.8347093955,"ACDG_P015",25
"143",-53596.5087362898,"ACDG_P015",50
"144",-97825.5736920823,"ACDG_P015",100
"145",-18339.864392848,"ACDG_P015",25
"146",-54835.7326794532,"ACDG_P015",50
"147",-98001.8047247063,"ACDG_P015",100
"148",-29705.7808042105,"ACDG_P015",25
"149",-60554.8791606162,"ACDG_P015",50
"150",-112973.885574785,"ACDG_P015",100
"151",-26756.114996875,"ACDG_P015",25
"152",-50417.0069945328,"ACDG_P015",50
"153",-105921.101491076,"ACDG_P015",100
"154",-27571.0977202446,"ACDG_P015",25
"155",-29157.4800396779,"ACDG_P015",50
"156",-93086.5153192575,"ACDG_P015",100
"157",-24386.5632070522,"ACDG_P015",25
"158",-54457.6974184531,"ACDG_P015",50
"159",-103041.05693119,"ACDG_P015",100
"160",-12689.5535260258,"ACDG_P015",25
"161",-68516.8676361075,"ACDG_P015",50
"162",-112930.881072257,"ACDG_P015",100
"163",-8190.76121063472,"ACDG_P015",25
"164",-67136.4852786193,"ACDG_P015",50
"165",-102225.739371113,"ACDG_P015",100
"166",-36839.3666970729,"ACDG_P015",25
"167",-59489.1874642004,"ACDG_P015",50
"168",-111084.97991396,"ACDG_P015",100
"169",-11358.7070286703,"ACDG_P015",25
"170",-66535.5971960502,"ACDG_P015",50
"171",-113999.248750727,"ACDG_P015",100
"172",-13185.2259494812,"ACDG_P015",25
"173",-51083.7093069272,"ACDG_P015",50
"174",-88711.4510969731,"ACDG_P015",100
"175",-19702.1370991729,"ACDG_P015",25
"176",-60873.2557772917,"ACDG_P015",50
"177",-103851.419093817,"ACDG_P015",100
"178",-27411.936690073,"ACDG_P015",25
"179",-69636.3147306425,"ACDG_P015",50
"180",-107860.59695482,"ACDG_P015",100
"181",-23428.8117425333,"ACDG_P015",25
"182",-50749.0904981486,"ACDG_P015",50
"183",-108880.208681882,"ACDG_P015",100
"184",-40380.8478576099,"ACDG_P015",25
"185",-63892.4254061075,"ACDG_P015",50
"186",-116608.772514128,"ACDG_P015",100
"187",-30447.0095025419,"ACDG_P015",25
"188",-61000.7497897961,"ACDG_P015",50
"189",-103378.152125548,"ACDG_P015",100
"190",-24886.4386619838,"ACDG_P015",25
"191",-55393.1523205846,"ACDG_P015",50
"192",-92238.3395328964,"ACDG_P015",100
"193",-30382.7055699347,"ACDG_P015",25
"194",-31335.4883087669,"ACDG_P015",50
"195",-110376.763293853,"ACDG_P015",100
"196",-37831.4483747612,"ACDG_P015",25
"197",-47781.0246541982,"ACDG_P015",50
"198",-103303.323546655,"ACDG_P015",100
"199",-32730.4064904457,"ACDG_P015",25
"200",-67644.5365018159,"ACDG_P015",50
"201",-89448.7103993004,"ACDG_P015",100
"202",-16442.4104126763,"ACDG_P015",25
"203",-47038.6394597669,"ACDG_P015",50
"204",-106838.58881962,"ACDG_P015",100
"205",-24448.9586553677,"ACDG_P015",25
"206",-54147.7249797442,"ACDG_P015",50
"207",-86866.6170445998,"ACDG_P015",100
"208",-43459.5614515769,"ACDG_P015",25
"209",-47432.1250699766,"ACDG_P015",50
"210",-107056.335135262,"ACDG_P015",100
"211",-20256.7095198384,"ACDG_P015",25
"212",-39846.6660788692,"ACDG_P015",50
"213",-89536.0494502701,"ACDG_P015",100
"214",-36113.9134865931,"ACDG_P015",25
"215",-48800.6637020997,"ACDG_P015",50
"216",-94128.5789159306,"ACDG_P015",100
"217",-24430.4702663055,"ACDG_P015",25
"218",-48386.6636141425,"ACDG_P015",50
"219",-88824.3139116593,"ACDG_P015",100
"220",-16645.1017335968,"ACDG_P015",25
"221",-52570.4681125651,"ACDG_P015",50
"222",-92297.3977033602,"ACDG_P015",100
"223",-26754.6370687143,"ACDG_P015",25
"224",-39337.9340335419,"ACDG_P015",50
"225",-105991.442219945,"ACDG_P015",100
"226",-55913.1509337886,"ACDG_P015",25
"227",-46840.7183236771,"ACDG_P015",50
"228",-108940.194273647,"ACDG_P015",100
"229",-38194.8980924047,"ACDG_P015",25
"230",-59586.9510845858,"ACDG_P015",50
"231",-102745.315558397,"ACDG_P015",100
"232",-36299.6642032023,"ACDG_P015",25
"233",-58896.8500405225,"ACDG_P015",50
"234",-114645.123597693,"ACDG_P015",100
"235",-22068.0732617932,"ACDG_P015",25
"236",-34860.6064775994,"ACDG_P015",50
"237",-104892.466041871,"ACDG_P015",100
"238",-24968.3747260054,"ACDG_P015",25
"239",-55864.0375375268,"ACDG_P015",50
"240",-97067.6535991006,"ACDG_P015",100
"241",-43197.055529621,"ACDG_P015",25
"242",-66421.2885059014,"ACDG_P015",50
"243",-106664.435352611,"ACDG_P015",100
"244",-23243.2066714525,"ACDG_P015",25
"245",-65132.945219706,"ACDG_P015",50
"246",-100876.952555989,"ACDG_P015",100
"247",-23219.5484955248,"ACDG_P015",25
"248",-62751.5814169873,"ACDG_P015",50
"249",-101290.529701624,"ACDG_P015",100
"250",-31386.9340595856,"ACDG_P015",25
"251",-72317.1719797342,"ACDG_P015",50
"252",-101837.080111917,"ACDG_P015",100
"253",-36122.9747235301,"ACDG_P015",25
"254",-50021.5810548924,"ACDG_P015",50
"255",-102611.797071677,"ACDG_P015",100
"256",-48369.8602665892,"ACDG_P015",25
"257",-37639.9174883238,"ACDG_P015",50
"258",-100789.669367808,"ACDG_P015",100
"259",-19166.6137124434,"ACDG_P015",25
"260",-60546.7485288677,"ACDG_P015",50
"261",-112450.148381072,"ACDG_P015",100
"262",-33211.6421352209,"ACDG_P015",25
"263",-70061.1854520451,"ACDG_P015",50
"264",-103693.471901293,"ACDG_P015",100
"265",-24692.3515695205,"ACDG_P015",25
"266",-63845.9952417288,"ACDG_P015",50
"267",-105957.819442343,"ACDG_P015",100
"268",-28059.7110147109,"ACDG_P015",25
"269",-67404.0873040496,"ACDG_P015",50
"270",-111178.991205532,"ACDG_P015",100
"271",-38878.5780482342,"ACDG_P015",25
"272",-37569.5470435363,"ACDG_P015",50
"273",-109347.105875012,"ACDG_P015",100
"274",-20561.9270214602,"ACDG_P015",25
"275",-26254.6111445302,"ACDG_P015",50
"276",-109066.031745203,"ACDG_P015",100
"277",-13949.0457101532,"ACDG_P015",25
"278",-68964.647893015,"ACDG_P015",50
"279",-90065.2365414752,"ACDG_P015",100
"280",-25633.1300664378,"ACDG_P015",25
"281",-71728.2265756424,"ACDG_P015",50
"282",-97603.4948358399,"ACDG_P015",100
"283",-26457.899211544,"ACDG_P015",25
"284",-53080.0342246393,"ACDG_P015",50
"285",-82397.4457955352,"ACDG_P015",100
"286",-38585.4020579387,"ACDG_P015",25
"287",-73888.0138469559,"ACDG_P015",50
"288",-111966.206719386,"ACDG_P015",100
"289",-26255.7745340581,"ACDG_P015",25
"290",-65195.0806652962,"ACDG_P015",50
"291",-107617.473184464,"ACDG_P015",100
"292",-28522.4927537018,"ACDG_P015",25
"293",-80477.9100332985,"ACDG_P015",50
"294",-113982.624412932,"ACDG_P015",100
"295",-16345.1317782341,"ACDG_P015",25
"296",-58559.7600771802,"ACDG_P015",50
"297",-105759.055125032,"ACDG_P015",100
"298",-21956.0494795125,"ACDG_P015",25
"299",-72164.4536550673,"ACDG_P015",50
"300",-109619.923117513,"ACDG_P015",100
"301",6649.24855088498,"ACDG_P016",25
"302",-143.267546796793,"ACDG_P016",50
"303",-18775.4506447471,"ACDG_P016",100
"304",-5728.96791998565,"ACDG_P016",25
"305",2516.77426812449,"ACDG_P016",50
"306",10276.3925124547,"ACDG_P016",100
"307",-13139.348599467,"ACDG_P016",25
"308",5845.58979034354,"ACDG_P016",50
"309",-9059.53658681584,"ACDG_P016",100
"310",-8969.16592686423,"ACDG_P016",25
"311",-963.76818641249,"ACDG_P016",50
"312",6619.27867889235,"ACDG_P016",100
"313",-1138.23005410351,"ACDG_P016",25
"314",1849.21299516776,"ACDG_P016",50
"315",-9138.59830393782,"ACDG_P016",100
"316",8760.03191281675,"ACDG_P016",25
"317",-2216.31170471435,"ACDG_P016",50
"318",-14288.7969651498,"ACDG_P016",100
"319",1032.71615874235,"ACDG_P016",25
"320",3729.73009478796,"ACDG_P016",50
"321",-3499.75495860493,"ACDG_P016",100
"322",2727.72566369941,"ACDG_P016",25
"323",8631.28290898757,"ACDG_P016",50
"324",-16190.4865701341,"ACDG_P016",100
"325",-7508.09227932754,"ACDG_P016",25
"326",8445.37165908553,"ACDG_P016",50
"327",7489.82420318271,"ACDG_P016",100
"328",-768.469636094582,"ACDG_P016",25
"329",16236.2240133167,"ACDG_P016",50
"330",-3936.38688897004,"ACDG_P016",100
"331",9898.76335817206,"ACDG_P016",25
"332",-7621.85018011351,"ACDG_P016",50
